manufacturer,model,search_code,start_year,end_year,variant,code,image_path
LADA,110,110,1995,2012,,, 
LADA,111,111,1997,2012,,, 
LADA,112,112,1999,2012,,, 
LADA,1200,1200,1970,1988,,, 
LADA,1300,1300,1970,1988,,, 
LADA,1500,1500,1976,1988,,, 
LADA,1600,1600,1976,1988,,, 
LADA,2101,2101,1970,1988,,, 
LADA,2102,2102,1971,1985,,, 
LADA,2103,2103,1972,1984,,, 
LADA,2104,2104,1984,2012,,, 
LADA,2105,2105,1979,2010,,, 
LADA,2106,2106,1976,2006,,, 
LADA,2107,2107,1982,2012,,, 
LADA,2108,2108,1984,2003,,, 
LADA,2109,2109,1987,2004,,, 
LADA,2110,2110,1995,2007,,, 
LADA,2111,2111,1997,2009,,, 
LADA,2112,2112,1999,2008,,, 
LADA,2113,2113,2004,2013,,, 
LADA,2114,2114,2001,2013,,, 
LADA,2115,2115,1997,2012,,, 
LADA,4X4,4X4,1977,,,, 
LADA,GRANTA,GRANTA,2011,,,, 
LADA,KALINA,KALINA,2004,2018,,, 
LADA,LARGUS,LARGUS,2012,,,, 
LADA,NIVA,NIVA,1977,2020,,, 
LADA,PRIORA,PRIORA,2007,2018,,, 
LADA,SAMARA,SAMARA,1984,2013,,, 
LADA,VESTA,VESTA,2015,,,, 
LADA,XRAY,XRAY,2015,,,, 
