    manufacturer,model,search_code,start_year,end_year,variant,code,image_path
    Alfa Romeo,145,145,1994,1999,,,
    Alfa Romeo,145,145,1999,2001,,,
    Alfa Romeo,146,146,1994,1999,,,
    Alfa Romeo,146,146,1999,2001,,,
    Alfa Romeo,147,147,2000,2010,,,
    Alfa Romeo,155,155,1992,1997,,,
    Alfa Romeo,156,156,2003,2005,,,
    Alfa Romeo,156,156,1997,2003,,,
    Alfa Romeo,159,159,2005,2011,,,
    Alfa Romeo,164,164,1987,1998,,,
    Alfa Romeo,166,166,1998,2007,,,
    Alfa Romeo,ALFA 33,ALFA33,1983,1990,,,
    Alfa Romeo,ALFA 33,ALFA33,1990,1995,,,
    Alfa Romeo,ALFA 75,ALFA75,1985,1992,,,
    Alfa Romeo,BRERA,BRERA,2006,2010,,,
    Alfa Romeo,GIULIA,GIULIA,2015,,,, 
    Alfa Romeo,GIULIETTA,GIULIETTA,2010,,,, 
    Alfa Romeo,GT,GT,2003,2010,,,
    Alfa Romeo,JUNIOR,JUNIOR,2024,,,, 
    Alfa Romeo,MITO,MITO,2008,,,, 
    Alfa Romeo,SPIDER,SPIDER,2006,,,, 
    Alfa Romeo,SPIDER,SPIDER,1994,2006,GTV,,
    Alfa Romeo,STELVIO,STELVIO,2016,,,, 
    Alfa Romeo,TONALE,TONALE,2022,,,, 
