manufacturer,model,search_code,start_year,end_year,variant,code,image_path
LANCIA,BETA,BETA,1972,1985,,, 
LANCIA,DELTA,DELTA,1979,1999,,, 
LANCIA,DELTA,DELTA,2008,2014,,, 
LANCIA,DELTA HF,DELTAHF,1986,1991,,, 
LANCIA,DELTA HF INTEGRALE,DELTAHFINTEGRALE,1987,1994,,, 
LANCIA,FLAVIA,FLAVIA,2012,2014,,, 
LANCIA,FULVIA,FULVIA,1963,1976,,, 
LANCIA,GAMMA,GAMMA,1976,1985,,, 
LANCIA,KAPPA,KAPPA,1994,2001,,, 
LANCIA,LYBRA,LYBRA,1999,2005,,, 
LANCIA,MUSA,MUSA,2004,2012,,, 
LANCIA,PHEDRA,PHEDRA,2002,2010,,, 
LANCIA,PRISMA,PRISMA,1982,1989,,, 
LANCIA,STRATOS,STRATOS,1973,1978,,, 
LANCIA,THEMA,THEMA,1984,1994,,, 
LANCIA,THEMA,THEMA,2011,2014,,, 
LANCIA,THESIS,THESIS,2002,2009,,, 
LANCIA,VOYAGER,VOYAGER,2011,2015,,, 
LANCIA,Y,Y,1996,2003,,, 
LANCIA,Y,Y,2003,2011,,, 
LANCIA,Y,Y,2011,2020,,, 
LANCIA,YPSILON,YPSILON,2003,2011,,, 
LANCIA,YPSILON,YPSILON,2011,2020,,, 
LANCIA,ZETA,ZETA,1995,2002,,, 
